PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.5 uM,Standard Deviation,Inhibition at 8.5 uM [1],Inhibition at 8.5 uM [2],Inhibition at 8.5 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized average percent inhibition of the counterscreen at a compound concentration of 8.5 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 1.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 2.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
73,92763934,4274774,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O,Active,82,,,80.91,12.9305,62.6581,90.9992,89.0753
74,17432643,790561,CCOC(=O)C1=C(C(=O)C2=CC=CC=C2C1=O)C3=CC=C(C=C3)OC,Active,82,,,80.85,1.85226,80.1106,79.0404,83.3939
75,26727235,2742284,CC1=CC(=C(N1C2=CC=CC=C2)C)C(=O)NC3=CC=C(C=C3)Cl,Active,82,,,80.85,3.69105,84.1718,75.6996,82.6696
76,14720985,727658,CC(C)(C)C1=CC=C(C=C1)C(=O)N2CCCCCC2=O,Active,82,,,80.61,0.472727,81.003,79.9456,80.8829
77,92764792,45281159,CN(CCC(=O)N1C/C(=C/C2=CC=CC=C2)/C(=O)/C(=C\C3=CC=CC=C3)/C1)C.Cl,Active,82,,,80.53,2.75828,84.417,78.3041,78.8684
78,7970423,3702591,C1CCCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl,Active,81,,,80.27,3.33743,75.8834,83.9688,80.9716
79,26730168,2815964,CC1CCC2=C(C1)SC(=C2C#N)NC(=O)CSC3=NC=NN3,Active,81,,,79.92,0.608522,79.6471,80.7665,79.3544
80,92764358,387042,C1C2CC3CC1CC(C2)(C3)OC(=O)C4=CC=C(C=C4)NCC5=C(C=CC(=C5)O)O,Active,80,,,79.37,0.0366749,79.3446,79.4242,79.3484
81,17510433,4279449,CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSCC(=O)OCC(=O)C3=CC=CC=C3,Active,80,,,79.09,0.680964,79.3452,78.1605,79.7698
82,92764423,391131,C1C2CC3CC1CC(C2)(C3)COC(=O)C4=CC=C(C=C4)NCC5=C(C=CC(=C5)O)O,Active,80,,,78.93,1.51108,81.0344,77.5541,78.203
83,24819407,1473969,C1=CC=C(C=C1)S(=O)/C(=C(/C(=O)NC2=CC=CC=C2Cl)\Cl)/Cl,Active,80,,,78.75,0.170935,78.6834,78.5759,78.9801
84,14731999,838555,C1CCC2=C(C1)C(=C(S2)NC(=O)CSC3=NC=NN3)C#N,Active,79,,,78.45,1.52243,76.2968,79.5729,79.4778
85,47203184,708625,COC1=CC=CC=C1C(=O)NC2=NC3=CC=CC=C3S2,Active,79,,,78.44,1.29132,79.4697,76.6218,79.2378
86,87336963,2998797,CC1=C(SC=C1)C(=O)OCC(=O)C2=C(N(C(=C2)C)CC3CCCO3)C,Active,79,,,78.36,2.68708,80.4999,80.0057,74.5687
87,92764459,403758,C1C2CC3CC1CC(C2)(C3)CCOC(=O)C4=CC=C(C=C4)NCC5=C(C=CC(=C5)O)O,Active,79,,,78.17,1.01506,77.2995,79.592,77.6121
88,49725814,1452801,CC(C)(C)C(=O)NC1=CN=C(C=C1)NC(=O)C2=CC=CO2,Active,79,,,77.61,1.72335,79.239,78.3705,75.2272
89,103059968,16314235,CCCN1C(=CC(=C1C)C(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O)C,Active,78,,,77.4,1.80538,74.8494,78.5964,78.7569
90,22407336,135468790,CC1=CC(=C(N1CC2=CC=CO2)C)C3=NNC(=NC4CC4)SC3,Active,78,,,77.33,1.94105,79.0473,78.333,74.6193
91,85267991,2397406,C1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC(=O)C3=CC=CNC3=O,Active,78,,,76.94,1.86012,78.5951,77.8805,74.3407
92,24810988,17201,C1=CC(=CC(=C1)OC2=CC=C(C=C2)N)OC3=CC=C(C=C3)N,Active,78,,,76.89,1.17254,75.373,78.2277,77.0743
93,47195062,902705,C1=CC=C(C=C1)C2=CC=CC=C2OC3=CC=C(C=C3)N,Active,78,,,76.81,1.57031,74.7971,78.6295,76.9975
94,26726874,2815176,CC1=CC=C(C=C1)C(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O,Active,78,,,76.78,1.56483,78.9843,75.8101,75.5364
95,92763735,457901,CC(=O)OCC1(CCCC23C1C(C(C45C2CCC(C4O)C(=C)C5=O)(OC3)O)O)C,Active,78,,,76.75,2.03022,75.4185,79.6143,75.2045
96,49721493,16436607,CCS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)C)Cl,Active,77,,,76.28,1.83346,78.668,74.2129,75.9493
97,26730448,2735289,CC(C)(C)C1=CC=C(C=C1)OC2=NC=C(C=C2)N,Active,77,,,75.87,0.52718,76.6187,75.4581,75.5481
98,14725477,5759185,CC(C)(C)C(=O)/C(=C\C1=CC(=CC=C1)[N+](=O)[O-])/N2C=NC=N2,Active,77,,,75.66,1.44613,73.6423,76.9604,76.3752
99,22405233,135521577,CC1=CC(=C(N1CCOC)C)C2=NNC(=NCC=C)SC2.Cl,Active,76,,,75.45,4.60873,78.1411,79.2387,68.9596
100,92764520,5473208,COC1=CC\2=C(C=C1)NC(=O)/C2=C/C3=NC(=CC=C3)/C=C/4\C5=C(C=CC(=C5)OC)NC4=O,Active,76,,,75.11,0.438573,74.7479,74.862,75.73
101,7970545,866500,CN(C1CCCCC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)OC,Active,75,,,74.48,3.77397,77.8903,69.2187,76.3284
102,49728459,9566902,CC(C)(C)C1=CC=C(C=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N,Active,74,,,73.5,2.44224,76.5526,73.3754,70.5743
103,22401616,135521482,CCCOC1=CC(=C(C=C1)/C=N/NC(=S)NC2=CC=CC=C2[N+](=O)[O-])O,Active,74,,,73,3.61275,77.0577,68.2837,73.6693
104,7976243,793991,CCCN1C=CC(=C2C(=O)C3=CC=CC=C3C2=O)C=C1,Active,74,,,72.93,1.4234,70.9272,73.7931,74.0798
105,49647413,1622297,C/C(=C\C1=CC=CC=C1)/C=C/2\C(=O)N(C(=S)S2)CCCC(=O)O,Active,73,,,72.53,3.00935,68.279,74.4392,74.865
106,865680,666941,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)N,Active,73,,,72.43,2.03546,74.4052,69.6273,73.2503
107,24832079,2401486,CC1=CC(=C(N1CCOC)C)C(=O)COC(=O)C2=CC=CC=C2Br,Active,73,,,72.33,4.19517,76.7072,73.6089,66.6729
108,92764469,268760,C1CCN(CC1)CC(=CC2=CC=CC=C2)C(=O)C3=CC=CC=C3,Active,73,,,72.27,1.32189,72.2998,70.638,73.8756
109,49673940,2307751,COC1=C(C=C(C=C1)C2=CSC(=N2)NC(=O)NC3=CC(=CC=C3)OC)OC,Active,73,,,72.25,3.70535,68.9658,77.4281,70.3552
110,49675252,854968,C1=CC=C(C=C1)C2=CN=C(O2)C3=CC=C(C=C3)N,Active,73,,,72.12,1.81582,74.2458,72.2933,69.8086
111,49671967,9116001,C1COC2=C(C=C(C=C2)C(=O)NCCC3=CC=CC=C3)OC1,Active,73,,,71.94,0.271652,71.6593,72.305,71.8428
112,14731755,960954,CC(C)(C)C(=O)NC1=CC2=NN(N=C2C=C1Cl)C3=CC=CC=C3,Active,72,,,71.64,3.80786,66.5555,75.7141,72.6644
